Sr.no.,Village,Survey No.,Area in NA Order,Dated,NA Order No.,Lease Deed Doc. No.,Lease Area,Lease Start,Lease End,Status
194,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
195,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
196,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
197,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
198,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
199,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
200,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
201,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
202,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
203,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
204,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
205,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
206,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
207,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
208,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
209,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
210,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
211,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
212,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
213,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
214,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
215,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
216,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
217,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
